name,x,y,z,probability
Commissure LCC-RCC,84.05919121227062,80.54159890835402,91.53475676124584,0.90337795
Commissure NCC-RCC,60.33506717471447,87.61299707327467,69.92844278390677,0.9484833
Commissure LCC-NCC,74.59905561894637,106.67142410759308,91.05351782092667,0.71340865
Nadir LCS,98.4144159138916,98.49285931138563,82.41780034672854,0.908603
Nadir RCS,87.0924039206942,82.46744433492313,64.73742904690964,0.77239287
Nadir NCS,42.28501698262591,206.0,212.72194653036684,0.703784
Basis of IVT LCC-RCC,94.60280077968744,88.16661607422331,74.95463219053937,0.8985768
Basis of IVT NCC-RCC,80.52098007537619,93.94524082549914,58.00145368416022,0.838664
Basis of IVT LCC-NCC,90.24756032941549,110.0,76.44819075434046,0.8967921
