name,x,y,z,probability
Commissure LCC-RCC,79.95900657227997,62.0,96.91868653143412,0.6508999
Commissure NCC-RCC,59.775646333290524,54.86623289469478,70.96929539459985,0.53262204
Commissure LCC-NCC,60.20801000742075,76.55563123324966,90.2892879931105,0.6826417
Nadir LCS,91.26635353216652,77.29962202144898,84.56334122339342,0.8604084
Nadir RCS,86.84267282789934,61.15044507751462,72.9255537713084,0.75598395
Nadir NCS,72.71765776350213,77.01131535587027,64.79774186364254,0.6113106
Basis of IVT LCC-RCC,93.66966341428582,67.47857355858363,83.04510963040097,0.8968431
Basis of IVT NCC-RCC,78.61072081659671,65.33124390725794,66.17250800613523,0.73431647
Basis of IVT LCC-NCC,79.26551762323392,83.25300837509995,74.57387116904964,0.7885324
