name,x,y,z,probability
Commissure LCC-RCC,210.48201763304803,88.84435971473516,-198.0,0.29590004682540894
Commissure NCC-RCC,-1.0,-1.0,-1.0,0.0
Commissure LCC-NCC,-1.0,-1.0,-1.0,0.0
Nadir LCS,218.072546856596,126.64565117515602,-183.33001699737505,0.6346797943115234
Nadir RCS,-1.0,-1.0,-1.0,0.0
Nadir NCS,381.66847287816535,15.911530751287863,-318.0,0.2609134912490845
Basis of IVT LCC-RCC,220.29945919981313,121.83183870048896,-170.0,0.38146451115608215
Basis of IVT NCC-RCC,200.52883128373847,108.44864960193308,-176.72924358648746,0.6351756453514099
Basis of IVT LCC-NCC,201.73920261590538,106.4955122429987,-176.0,0.2552352547645569
