landmark,detection_rate,detected,total,mean_error,median_error,std_error,max_error,mean_error_x,mean_error_y,mean_error_z,percentile_25,percentile_75,percentile_90,inlier_rate_5mm
Nadir RCS,87.5,35,40,21.102035475940607,0.9414396964891342,107.98481843677762,649.6784559808852,4.947251299290524,4.270094876990873,19.681439639702255,0.8390613736278132,1.8316703945966015,4.251286255189433,91.42857142857143
Commissure NCC-RCC,82.5,33,40,4.9715502726400835,1.2570096954891437,14.75426531830577,86.2524578253983,2.1108139035180558,1.0649299123120461,3.7816361913643983,0.8915609280339025,2.1473242353036284,5.579283347652415,87.87878787878788
Nadir LCS,97.5,39,40,2.6769629632601846,1.4134034242429734,6.4195653622294815,41.47030816228981,1.0007284680256907,1.1579026505434462,1.787487637046458,0.8171596551971679,2.140318636144645,3.7149672219158774,92.3076923076923
Commissure LCC-NCC,55.00000000000001,22,40,2.2786308797826287,1.237698648250438,2.4224511164568505,9.551889533483902,1.3512029735338404,0.5982869238412486,1.1348220465799044,0.7875606494003724,3.0326111536690554,5.238527578023493,86.36363636363636
Basis of IVT NCC-RCC,90.0,36,40,1.5384796692953417,1.0334992323599481,2.72155408131692,17.29451066022649,0.6174086589793499,0.9655189592615288,0.7007506661915239,0.5450632756935531,1.4741419964682052,2.037371440658405,97.22222222222221
Commissure LCC-RCC,92.5,37,40,15.365407114330734,1.4091181068507777,48.984939876939045,286.08827773792666,1.983032649118938,3.7252758830731,13.377283370834984,0.8390500822887772,2.3360673452212524,36.867717906232414,83.78378378378379
Nadir NCS,97.5,39,40,30.00685870052948,2.0765651355437327,67.93821381942665,312.30519388713213,9.455101250742777,12.355486506197003,22.106384843452435,0.9322081426530978,43.27432335047051,63.80333267130672,71.7948717948718
Basis of IVT LCC-NCC,95.0,38,40,1.9480177988530742,0.8460010995205066,4.058495273658248,25.113647089806683,0.7641444082208232,0.3892897677560911,1.5348624738925234,0.5485867668469755,1.81402013151195,2.8669116192588593,94.73684210526315
Basis of IVT LCC-RCC,95.0,38,40,2.0068447593152605,0.852446376247715,3.8117482571624954,20.776453175095003,0.6895088944998238,1.0645519590786345,1.138494779317055,0.5748230387932772,1.5418491727849724,2.74230345816983,94.73684210526315
