x,y,z
102.04237,79.711075,97.36784
77.76834,74.1082,89.85425
82.74947,95.36771,92.25052
104.751976,95.753876,77.04767
102.41362,80.35739,70.495544
85.96348,95.31734,66.73784
109.17627,87.58421,75.70665
91.60963,83.94214,65.73334
95.85398,98.610275,73.3436
