x,y,z
92.207596,58.665207,98.46063
72.12096,51.348175,93.40273
72.50929,70.57745,96.93323
92.55084,74.79465,84.876236
90.19944,58.06038,78.70958
75.99568,70.0067,79.219376
94.36119,65.59354,83.30648
79.09015,61.2424,75.51171
79.82496,74.849625,82.47018
