name,x,y,z
Commissure LCC-RCC,2.209638833999634,149.1759796142578,-186.54322814941406
Commissure NCC-RCC,-14.166616439819336,149.13475036621094,-208.83160400390625
Commissure LCC-NCC,-1.2913281917572021,169.31317138671875,-194.28292846679688
Nadir LCS,21.233909606933594,162.23765563964844,-193.68069458007812
Nadir RCS,14.133670806884766,149.01661682128906,-208.93528747558594
Nadir NCS,7.767581462860107,170.00917053222656,-219.7783660888672
Basis of IVT LCC-RCC,18.589811325073242,153.62779235839844,-200.42056274414062
Basis of IVT NCC-RCC,9.596834182739258,154.5615234375,-217.87698364257812
Basis of IVT LCC-NCC,16.581144332885742,172.6389617919922,-199.96243286132812
