name,x,y,z,probability
Commissure LCC-RCC,106.5418642587899,96.76509866936313,141.7902453333606,0.85904694
Commissure NCC-RCC,75.85760143407822,97.13047336378155,129.89547681303753,0.86370116
Commissure LCC-NCC,90.42797143506911,119.96323430733707,134.37060244713186,0.82759327
Nadir LCS,111.10247197925281,114.19233142691733,121.3382378288484,0.85788476
Nadir RCS,100.7267579548409,91.3039704052858,113.58140658650703,0.7770191
Nadir NCS,88.30319137626645,113.99504838397219,108.17024862781903,0.89237416
Basis of IVT LCC-RCC,110.64678965836572,102.57691426739878,117.82795650315713,0.7928439
Basis of IVT NCC-RCC,92.56476876640765,99.93669841806432,108.03867552460883,0.96957254
Basis of IVT LCC-NCC,99.94708409454226,117.11014814412741,115.93425373292835,0.7425173
