name,x,y,z,probability
Commissure LCC-RCC,98.51048739200448,92.27991933515406,106.38234494377464,0.89636046
Commissure NCC-RCC,85.51984104290713,100.15474494756211,89.56973709116959,0.89469784
Commissure LCC-NCC,95.83058043045618,116.0,103.81113400206422,0.8148599
Nadir LCS,116.45179761429407,110.68736044820089,97.72853860950273,0.9288253
Nadir RCS,108.71739988940007,96.20285677151503,84.57122476340743,0.8208442
Nadir NCS,101.44921012051542,114.64357901002087,78.79207686395321,0.9281008
Basis of IVT LCC-RCC,115.23723311670749,99.69915354450735,93.6230366380245,0.91269964
Basis of IVT NCC-RCC,101.36414958600083,102.79691902244699,76.59762752455373,0.8926537
Basis of IVT LCC-NCC,108.19324141580574,119.25999649934205,90.36647033258426,0.9328186
