name,x,y,z,probability
Commissure LCC-RCC,104.91973783716,62.980204703542086,95.01102035969977,0.47729495
Commissure NCC-RCC,88.55927140423749,63.000405327923225,75.02680804469577,0.78829974
Commissure LCC-NCC,91.97617626143136,83.85980583563911,91.99332334434908,0.759288
Nadir LCS,113.09036036366457,79.14089171001157,88.53388588338892,0.8979789
Nadir RCS,109.74462548437346,65.0595888754706,76.66715319113716,0.6713967
Nadir NCS,100.69336257832958,83.55501917122255,70.44829451432646,0.7769597
Basis of IVT LCC-RCC,114.8554396100487,68.71406464465235,84.11463827921823,0.7760047
Basis of IVT NCC-RCC,103.43746058741425,70.95267786470087,68.73350549998132,0.84467834
Basis of IVT LCC-NCC,105.69531872655875,85.17402179151824,80.82308880334276,0.75515044
