name,x,y,z,probability
Commissure LCC-RCC,88.3908536930557,78.7478774776954,75.82544607437413,0.6664707
Commissure NCC-RCC,68.44549146691081,82.71166480361263,69.21798368481119,0.71983737
Commissure LCC-NCC,79.98933864850858,98.40860779908483,73.80072453911535,0.79355675
Nadir LCS,97.48804478556463,90.63034050705934,64.04993046726482,0.57355034
Nadir RCS,87.31882583031107,75.19652233109544,56.7173652614112,0.71679777
Nadir NCS,77.65954588661893,95.0407700461466,53.88918962530526,0.87816447
Basis of IVT LCC-RCC,95.52271220638063,80.15857488286858,61.764685527989045,0.84628797
Basis of IVT NCC-RCC,77.78545713282475,83.32673181374058,53.609909492894786,0.9062351
Basis of IVT LCC-NCC,88.18571511163346,97.08212927151017,58.75305754719256,0.6536498
