name,x,y,z,probability
Commissure LCC-RCC,90.26372568155489,59.652378099759055,90.92923202643338,0.7005866
Commissure NCC-RCC,63.40769667721821,55.95774235767534,77.83617379037626,0.86934114
Commissure LCC-NCC,74.17447800094911,75.66716425530983,87.65181253547247,0.7523841
Nadir LCS,93.74827882848899,73.92751149214568,80.5414725616902,0.9053623
Nadir RCS,85.65383597662337,57.562485420403455,70.47536214363141,0.83846897
Nadir NCS,72.86010324133045,74.47282233932577,68.51615474397805,0.8399455
Basis of IVT LCC-RCC,95.07770352750597,63.04848958916512,78.33505773390961,0.74011475
Basis of IVT NCC-RCC,74.27135901077716,62.29684174492191,66.4935105598016,0.91391426
Basis of IVT LCC-NCC,84.00512867695534,78.25296509979509,76.16199858366227,0.8742936
