name,x,y,z,probability
Commissure LCC-RCC,234.9485318494249,183.0525095086689,188.73537595749536,0.7958282
Commissure NCC-RCC,178.79974561590006,200.19136737563528,52.68093392212059,0.88551927
Commissure LCC-NCC,225.50878115604763,209.8702867885898,185.7676597856973,0.71522367
Nadir LCS,249.89703070265702,200.90856117370058,178.8453146561823,0.8486453
Nadir RCS,245.45194863375633,185.8363510856591,165.63433837329362,0.7614475
Nadir NCS,235.76357034769475,207.83273924099018,156.0773658924309,0.9460234
Basis of IVT LCC-RCC,251.39060915507392,190.35590916923115,174.1312114402434,0.91638327
Basis of IVT NCC-RCC,238.6098260354892,193.56561517996263,156.32093284224024,0.9573004
Basis of IVT LCC-NCC,244.7073716703634,207.5058516468258,170.52036880714664,0.7687306
