name,x,y,z,probability
Commissure LCC-RCC,100.40846239641932,99.77626469451073,127.34235749990724,0.9491149
Commissure NCC-RCC,80.1095956305326,98.87840327747146,110.30477243308557,0.8671315
Commissure LCC-NCC,88.2163051751433,120.52126999063168,120.58300948332183,0.7400761
Nadir LCS,114.06106026263133,116.82589817603012,117.07435418003772,0.78952163
Nadir RCS,105.57669974291747,101.19372113669178,103.0283290698886,0.71952826
Nadir NCS,94.774892482223,119.29289666128014,96.19571715356506,0.9165063
Basis of IVT LCC-RCC,114.64172374163516,105.8723349549343,112.82610614511817,0.8673799
Basis of IVT NCC-RCC,97.77044193718264,107.46163116610866,95.96984182797397,0.96249294
Basis of IVT LCC-NCC,102.8962189436116,122.83891035903235,108.28792081987929,0.85847163
