name,x,y,z,probability
Commissure LCC-RCC,197.09412717231993,167.6816462266459,200.5403335697198,0.8139774
Commissure NCC-RCC,182.03256280974253,167.9072670316834,173.6141236463467,0.7397219
Commissure LCC-NCC,189.26363601850397,188.0,193.84826523483687,0.40795362
Nadir LCS,209.96867508573496,183.45401425668348,191.4364344899494,0.9234968
Nadir RCS,207.7057445895063,165.06133975720238,174.1164436152867,0.6865193
Nadir NCS,201.41661249745093,185.754808209596,166.58216514536537,0.8145152
Basis of IVT LCC-RCC,212.40919699696528,171.1252183417536,186.1525705940467,0.83474267
Basis of IVT NCC-RCC,202.09594263268036,172.3569828121497,165.62818806292344,0.79705
Basis of IVT LCC-NCC,206.41693197257814,189.61666122235653,181.31537534188277,0.72081
