name,x,y,z,probability
Commissure LCC-RCC,191.4865752635665,144.25369706015567,154.50109040583075,0.8321917
Commissure NCC-RCC,176.4201558095564,141.07526744652696,141.2311744208294,0.8723707
Commissure LCC-NCC,182.73669404811264,161.40273610834427,143.1157364536304,0.7070688
Nadir LCS,204.24626389049433,152.94359796128794,144.06238836536784,0.8373605
Nadir RCS,193.35945994250662,137.5888257350185,134.02794456679635,0.85627556
Nadir NCS,186.471596608659,149.60512713821976,125.18667419136608,0.9186729
Basis of IVT LCC-RCC,201.8755983973255,141.64788942038138,139.82012549367147,0.90350795
Basis of IVT NCC-RCC,187.4992843045743,140.71756063805338,128.50815494588625,0.859362
Basis of IVT LCC-NCC,192.92818206759355,160.41043206275887,130.7238525473488,0.95396984
