name,x,y,z,probability
Commissure LCC-RCC,177.29977774304783,134.79463635798385,130.47906878615433,0.75480753
Commissure NCC-RCC,155.20863184209048,140.1931552567274,110.94276523575247,0.8066961
Commissure LCC-NCC,161.92437586875866,159.40074415310653,125.86352276321789,0.7197495
Nadir LCS,186.37008577826714,157.13254390461958,125.5645300134929,0.8590654
Nadir RCS,179.64230355662565,138.01201705025417,108.98539134501961,0.6263389
Nadir NCS,172.20986430591395,157.67114127785305,108.30616455259289,0.91845405
Basis of IVT LCC-RCC,188.32412430140963,142.2003333917627,121.04156423079591,0.86361575
Basis of IVT NCC-RCC,174.33405111110255,148.65248036664488,106.3622770657469,0.76946336
Basis of IVT LCC-NCC,177.23103299819655,159.715522634798,114.56805604793949,0.91830534
