name,x,y,z,probability
Commissure LCC-RCC,193.78683529092723,150.96198129815198,143.3651171688463,0.81610554
Commissure NCC-RCC,177.80157395925036,149.97113491275638,131.42051282421488,0.8754239
Commissure LCC-NCC,184.15783225313618,165.2650143719228,136.74543406807373,0.7622998
Nadir LCS,202.34641703716477,162.4800534350595,134.76290971575833,0.8634416
Nadir RCS,197.51055570404142,148.7210900861962,128.31576692384897,0.9062547
Nadir NCS,185.82959276319417,163.06617702876275,121.3473737812905,0.8905958
Basis of IVT LCC-RCC,202.5409512687307,153.37240818251468,132.98428195629083,0.8549815
Basis of IVT NCC-RCC,189.06826842273364,153.02867693248228,122.61804964269695,0.81573534
Basis of IVT LCC-NCC,193.52008039894594,165.86195300744063,127.74070942290713,0.80845404
