name,x,y,z,probability
Commissure LCC-RCC,171.57009328148408,130.47156128193765,146.16584632833192,0.9116137
Commissure NCC-RCC,146.0819413625675,133.91932165577262,139.74187162800513,0.83232826
Commissure LCC-NCC,164.27797273002793,152.93924033084022,151.7008146804797,0.89475536
Nadir LCS,183.6332184326781,150.57371494620503,139.22518988548947,0.7607882
Nadir RCS,168.8282815231122,131.53940402035406,124.35144499076927,0.8162841
Nadir NCS,151.85748547397762,160.79204416953107,128.67113115018873,0.8445669
Basis of IVT LCC-RCC,181.83829406536412,140.10250171488434,129.75258277157897,0.9116433
Basis of IVT NCC-RCC,153.8218795917043,142.16969349711442,121.917544794192,0.89274436
Basis of IVT LCC-NCC,170.25946454121603,162.1543586893314,139.9909810565069,0.7345127
