name,x,y,z,probability
Commissure LCC-RCC,256.84635208838347,208.7684989822218,99.78863185276008,0.39666113
Commissure NCC-RCC,211.59389207823685,178.97585661455318,92.44710745915751,0.3670584
Commissure LCC-NCC,222.2444832803525,200.7558585261374,96.32255309843359,0.6103975
Nadir LCS,240.95679813214633,193.5805477411019,95.60238236167051,0.5398309
Nadir RCS,233.8386440660478,178.0,94.45797750919672,0.554908
Nadir NCS,225.167001884061,192.87164140844865,78.90022958265153,0.89661527
Basis of IVT LCC-RCC,239.0116768855579,183.8405469424121,96.22044216853459,0.9037449
Basis of IVT NCC-RCC,226.8618334659379,179.46786375498118,84.7495061488549,0.89598745
Basis of IVT LCC-NCC,232.2887075842567,197.85266059307065,86.22398439535898,0.8766018
