name,x,y,z,probability
Commissure LCC-RCC,191.9017401429074,121.21860025251213,143.61973367306453,0.8620601
Commissure NCC-RCC,172.2592668250628,114.28898993587606,136.80987431660108,0.87600505
Commissure LCC-NCC,176.70867086921183,135.61321302066958,139.76424651239574,0.773831
Nadir LCS,197.92011934906049,132.88141724218846,124.10172530186719,0.8980291
Nadir RCS,189.77145223340673,114.09498575446452,123.02324914985093,0.88421607
Nadir NCS,176.73378710439113,126.48094888090208,117.779600911128,0.9470143
Basis of IVT LCC-RCC,198.00435878057235,120.76066896001663,126.64889040731734,0.8651838
Basis of IVT NCC-RCC,176.2950404050055,117.00129144445154,117.50987543477676,0.8245537
Basis of IVT LCC-NCC,185.09505536517528,135.9621595310072,121.4833956652716,0.869071
