name,x,y,z,probability
Commissure LCC-RCC,127.2377734383442,122.44902317505365,59.94266626402882,0.86904967
Commissure NCC-RCC,115.68195395625922,117.06727029595422,34.88679023127592,0.7057401
Commissure LCC-NCC,115.75026165811992,141.95147522364087,49.43241816500352,0.9410766
Nadir LCS,137.69821124664938,139.53491319591268,52.726331789098104,0.8115778
Nadir RCS,140.80945709219512,121.39721132013754,42.820333390863546,0.72920126
Nadir NCS,104.08545726490107,246.0,20.969968014539198,0.79466146
Basis of IVT LCC-RCC,142.26447088688064,128.68697609292428,48.74874104276424,0.9000201
Basis of IVT NCC-RCC,136.84630714520623,126.66297119152038,35.277051945413966,0.74667096
Basis of IVT LCC-NCC,134.53165707818943,141.75486144393307,43.01815323523295,0.8033191
