name,x,y,z,probability
Commissure LCC-RCC,80.70990626171994,83.1557362443572,100.76162552365409,0.90294147
Commissure NCC-RCC,61.88039378169661,84.32426153168478,89.43366619443043,0.797171
Commissure LCC-NCC,71.22744015580194,103.55809469866874,93.6907430152339,0.8644413
Nadir LCS,91.61116338862138,99.64397175244788,88.96000220116373,0.8403861
Nadir RCS,83.98411698853906,79.60797339784648,82.6615735542591,0.71143526
Nadir NCS,72.86550935957956,95.14718264252122,73.85019141446833,0.86827356
Basis of IVT LCC-RCC,92.62953927623386,83.92530784643608,90.73253663799453,0.7577267
Basis of IVT NCC-RCC,74.04846010110484,84.73561557544258,75.28400373189668,0.82742864
Basis of IVT LCC-NCC,80.27463355600838,103.06988903949309,80.58416642568974,0.86347234
