name,x,y,z,probability
Commissure LCC-RCC,75.07635270148226,57.15315337060978,88.86097835369964,0.6786893010139465
Commissure NCC-RCC,62.69940758025347,44.86278907181148,60.86478481192682,0.6527169942855835
Commissure LCC-NCC,60.0,76.0,78.0,0.3003815710544586
Nadir LCS,89.63861926546035,75.11966239677662,75.57064738563946,0.6458167433738708
Nadir RCS,90.80857458877084,54.71930509757026,70.02564363133867,0.3548777997493744
Nadir NCS,36.492362290641715,182.0,31.997314888104615,0.3030945360660553
Basis of IVT LCC-RCC,94.11007843280927,61.33456326438069,75.11478967436237,0.7893365025520325
Basis of IVT NCC-RCC,-1.0,-1.0,-1.0,0.0
Basis of IVT LCC-NCC,83.56211628165853,79.06326346494384,64.38233349672538,0.7097117900848389
