name,x,y,z,probability
Commissure LCC-RCC,254.48928064054067,182.37492111276507,114.18180460436486,0.84371275
Commissure NCC-RCC,231.4249272530037,173.25038897859588,106.10080267519224,0.8286401
Commissure LCC-NCC,233.75909350041314,196.30014081909516,114.08707058934368,0.69645554
Nadir LCS,252.16163777121938,203.01697316547498,98.81946967656756,0.8172951
Nadir RCS,253.9898011569692,185.45105350527322,87.96707748205665,0.92168516
Nadir NCS,232.03583540579496,193.15730507965998,86.10356397405678,0.8817866
Basis of IVT LCC-RCC,257.7092801859915,192.64390165964247,94.3739222172535,0.8300634
Basis of IVT NCC-RCC,240.74889995116948,185.66686214097678,84.27062095276439,0.9528478
Basis of IVT LCC-NCC,241.30292338653751,203.0277889601694,94.98546273954116,0.85975987
