name,x,y,z,probability
Commissure LCC-RCC,240.26771599224222,228.6840594954014,147.56826460072412,0.87223524
Commissure NCC-RCC,219.59239315908232,222.21935663799735,141.04030752394232,0.9097529
Commissure LCC-NCC,222.8686525816061,242.0,144.43501260137506,0.6416305
Nadir LCS,244.97414118389193,243.30022074138287,128.32013254378347,0.84514034
Nadir RCS,237.21053856747434,223.85899785019237,122.94569060566343,0.8927936
Nadir NCS,221.87413258559098,235.82585701597696,122.72630146003947,0.9070889
Basis of IVT LCC-RCC,246.95617669388122,232.06954201692267,125.83759745205147,0.89819944
Basis of IVT NCC-RCC,225.68785522431142,226.18296430493217,120.51233750052197,0.70827657
Basis of IVT LCC-NCC,227.9047884690873,243.59677281240698,125.95331347153848,0.8016122
