name,x,y,z,probability
Commissure LCC-RCC,111.0552089943097,106.68801579529786,79.22472745945045,0.9455931
Commissure NCC-RCC,87.8532456256392,98.33078308245443,57.97302811869571,0.7573857
Commissure LCC-NCC,100.72197177880552,133.57431336552904,65.74733127180616,0.94595414
Nadir LCS,121.94091702999303,122.3145400022499,63.27626287368903,0.85942644
Nadir RCS,116.77145203230504,104.1144173768635,58.171556174094995,0.7265767
Nadir NCS,106.06301480702807,116.75826870864367,38.2859561030838,0.8284738
Basis of IVT LCC-RCC,120.54941061418342,110.56172440245905,62.226686108990506,0.8276123
Basis of IVT NCC-RCC,111.84479910236185,103.44371200899901,47.88882132193017,0.8454165
Basis of IVT LCC-NCC,116.87718520043795,126.97646539304218,53.761285839715256,0.8592031
