name,x,y,z,probability
Commissure LCC-RCC,106.0808314957397,70.53457281693306,87.77227935813097,0.8562643527984619
Commissure NCC-RCC,76.54596694145278,77.8123636272412,60.584405575600336,0.7263582348823547
Commissure LCC-NCC,-1.0,-1.0,-1.0,0.0
Nadir LCS,120.91204501720043,92.88320011746444,83.29054870300165,0.7186290621757507
Nadir RCS,118.0,74.0,64.0,0.25679194927215576
Nadir NCS,91.9109232722365,230.0,145.49723934924913,0.372409462928772
Basis of IVT LCC-RCC,122.88197916161819,79.94191341237337,73.72918623981518,0.8098499774932861
Basis of IVT NCC-RCC,106.92689404651861,92.06226804197149,51.52919141552698,0.6469305157661438
Basis of IVT LCC-NCC,113.32783411959855,106.0,73.11509005703036,0.3963055908679962
