name,x,y,z,probability
Commissure LCC-RCC,-164.0,-232.0,122.0,0.29596877098083496
Commissure NCC-RCC,-164.63616766912014,-226.19858444710042,65.76938367261818,0.6541289687156677
Commissure LCC-NCC,-174.0,-214.0,112.0,0.3010268807411194
Nadir LCS,-150.74944062013938,-218.0,112.27778368522334,0.34439024329185486
Nadir RCS,-296.0,-4.0,334.0,0.25182485580444336
Nadir NCS,-164.65284723535316,-219.11068199812829,90.7679688493216,0.5786676406860352
Basis of IVT LCC-RCC,-1.0,-1.0,-1.0,0.0
Basis of IVT NCC-RCC,-1.0,-1.0,-1.0,0.0
Basis of IVT LCC-NCC,-158.78389050038652,-212.64575277278615,104.11717303879773,0.5464309453964233
