name,x,y,z,probability
Commissure LCC-RCC,78.65345965355937,58.227855783062516,95.19226077628224,0.9327914
Commissure NCC-RCC,55.771067389864136,56.370674795729926,83.42252026197659,0.82453716
Commissure LCC-NCC,62.47640130734357,76.55528677864179,101.40999622621008,0.7119473
Nadir LCS,81.77907654646077,82.67175376139143,84.94497118679844,0.81978476
Nadir RCS,78.85160997478025,63.57245185653245,71.02501169075627,0.8425155
Nadir NCS,60.61116024503679,83.03257292395735,70.37553911210071,0.88893205
Basis of IVT LCC-RCC,83.93878883162155,70.98959737629737,78.26768385939141,0.8141093
Basis of IVT NCC-RCC,67.13567563065168,68.21161183613972,66.78714574176219,0.8470917
Basis of IVT LCC-NCC,70.95371321117028,86.87785347500521,81.80772687529337,0.7570878
