name,x,y,z,probability
Commissure LCC-RCC,97.25199599085427,68.35080794815758,93.65579299031667,0.43930793
Commissure NCC-RCC,71.96149979113231,68.51043880378343,77.84643631351545,0.8196863
Commissure LCC-NCC,83.14142073462132,89.97772510920258,89.86165508877815,0.59965426
Nadir LCS,107.1100490713399,84.80903608567557,74.32225243991172,0.42346618
Nadir RCS,100.45031212595721,67.16288784763962,65.60511252750055,0.80847543
Nadir NCS,86.44675933064754,84.53198041586053,60.38721140098327,0.7772001
Basis of IVT LCC-RCC,107.2235147739327,74.85068026007305,72.39721663945866,0.7934104
Basis of IVT NCC-RCC,88.08143107217128,71.09093110685309,59.42141331699029,0.9414874
Basis of IVT LCC-NCC,96.00887809888734,91.18684244222317,69.58654460627469,0.72906595
