name,x,y,z,probability
Commissure LCC-RCC,79.50636387754673,73.42149253915176,75.69457075550557,0.8057751655578613
Commissure NCC-RCC,-1.0,-1.0,-1.0,0.0
Commissure LCC-NCC,76.0,98.0,72.93753555312558,0.30080294609069824
Nadir LCS,92.03791865830873,88.90615435771636,70.924379739584,0.5040063858032227
Nadir RCS,84.30791871892976,75.99081025234005,57.80324837028104,0.7037281394004822
Nadir NCS,82.34233898445694,96.9822144097303,50.713969333758854,0.4855961203575134
Basis of IVT LCC-RCC,89.88951858215222,78.0,64.5807728786589,0.4220494031906128
Basis of IVT NCC-RCC,80.66253301941383,84.66862345732562,49.094513874708284,0.6604743599891663
Basis of IVT LCC-NCC,92.0,95.37090864502406,65.30504084867735,0.2855413258075714
