name,x,y,z,probability
Commissure LCC-RCC,167.8559330994168,122.93614305041274,174.72138679250713,0.8382634
Commissure NCC-RCC,146.219841751364,113.29731649220217,146.89083692058716,0.8887177
Commissure LCC-NCC,154.98854936741327,153.19685962774378,165.35370417752986,0.7748815
Nadir LCS,181.6524105221783,143.05803585319933,163.49887659811762,0.8714309
Nadir RCS,176.9763096392864,120.70414355366275,153.0332308261869,0.7996082
Nadir NCS,168.332495221488,140.25229296510904,131.99750821967302,0.80784833
Basis of IVT LCC-RCC,183.8476956381501,127.87318919431873,161.06467583392728,0.81999326
Basis of IVT NCC-RCC,171.05473681938923,124.72721819623666,138.24385227165374,0.8276809
Basis of IVT LCC-NCC,177.3133108482221,149.64887424223554,151.3560990324121,0.8012791
