name,x,y,z,probability
Commissure LCC-RCC,208.34933941427752,124.55186584316154,190.61087016686557,0.77978796
Commissure NCC-RCC,176.83803638371083,106.5975942279062,169.81513645654204,0.8368412
Commissure LCC-NCC,186.7166073507296,146.77536695473177,188.20179129418256,0.84286696
Nadir LCS,214.84187372098512,139.67827045406813,177.17227315265436,0.87964666
Nadir RCS,216.76797044568895,119.09551182016266,173.99830205999123,0.75113344
Nadir NCS,199.54660222904786,134.4423651790843,147.89758902749014,0.8485147
Basis of IVT LCC-RCC,218.36837059924468,127.16486187228796,177.29895866804566,0.86767685
Basis of IVT NCC-RCC,210.03218122798717,121.73926265133234,159.43934727401822,0.90245575
Basis of IVT LCC-NCC,207.6065066938552,142.69946581298404,166.26987179472277,0.907764
