name,x,y,z,probability
Commissure LCC-RCC,207.08153206912962,154.09473064820992,132.273649913868,0.86998034
Commissure NCC-RCC,184.987430052624,137.5495497938437,120.49704219346562,0.8362137
Commissure LCC-NCC,186.37511061863307,162.71563986535023,127.53091313607781,0.8259199
Nadir LCS,205.68689897901427,166.3037492312297,115.98817380922858,0.80540395
Nadir RCS,208.2787964699052,145.56402092750378,110.20789260644486,0.9245003
Nadir NCS,187.89213505029085,158.5173497642984,103.84504116583292,0.9583753
Basis of IVT LCC-RCC,212.48611565286876,155.42280348791445,114.43995416405627,0.9067925
Basis of IVT NCC-RCC,194.47979593134386,147.77792314804137,104.01919892517249,0.8039764
Basis of IVT LCC-NCC,193.20271965233707,165.97940208646082,110.07495026394639,0.9183792
