name,x,y,z,probability
Commissure LCC-RCC,-1.0,-1.0,-1.0,0.0
Commissure NCC-RCC,72.37425608233923,66.98335290720776,70.65669506674486,0.6521121859550476
Commissure LCC-NCC,78.08419535539663,89.48912849063389,74.82390532424681,0.4676452875137329
Nadir LCS,103.28045564938061,83.17962964360007,68.82594513120075,0.5060895085334778
Nadir RCS,98.0,62.0,64.0,0.31562304496765137
Nadir NCS,78.98700882479402,82.0,52.0,0.3862104117870331
Basis of IVT LCC-RCC,103.27009348204507,72.79493070025543,68.22042297027387,0.8232618570327759
Basis of IVT NCC-RCC,83.41938676809383,68.0,56.548248365959836,0.5004006624221802
Basis of IVT LCC-NCC,90.0,90.0,62.0,0.37066835165023804
