name,x,y,z,probability
Commissure LCC-RCC,86.48185395562969,68.98027052684607,88.5104861990553,0.8693056
Commissure NCC-RCC,65.5111771636672,64.34662889113737,81.56119258744468,0.53325963
Commissure LCC-NCC,73.32815100205853,84.5332840952781,87.40548739216672,0.7896454
Nadir LCS,93.20065399203158,83.14570138852743,76.60491491784,0.46186
Nadir RCS,82.01373776600555,64.82202575302055,68.5393682600506,0.5555941
Nadir NCS,71.51941630237987,83.02086992856462,65.28788812960467,0.74169374
Basis of IVT LCC-RCC,90.3777378565413,72.81486809127682,73.66344687532757,0.7778114
Basis of IVT NCC-RCC,72.37041097626364,70.30703430447323,63.5556116731563,0.90352887
Basis of IVT LCC-NCC,80.34961574231635,88.32880121114636,71.47009261286118,0.76195717
