name,x,y,z,probability
Commissure LCC-RCC,-102.38987669084199,-132.48364888314845,77.84781858276646,0.8139473
Commissure NCC-RCC,-114.44602639697251,-133.86691867378028,50.95707283904574,0.65900654
Commissure LCC-NCC,-110.06232102865945,-110.52244894299157,66.91151399228521,0.7169997
Nadir LCS,-82.64378254998616,-117.05598919111334,70.02641309521394,0.8272279
Nadir RCS,-85.03847675173277,-136.45411073231176,53.931584415198564,0.7440433
Nadir NCS,-92.72068823081774,-116.00753314804382,41.3300432181023,0.6354879
Basis of IVT LCC-RCC,-81.43758513521453,-129.61095889385254,66.59191284266248,0.6980331
Basis of IVT NCC-RCC,-88.94606759151121,-130.0,45.184928443973114,0.41455987
Basis of IVT LCC-NCC,-87.9522982427359,-108.9159216845547,58.22964613086536,0.6135602
