name,x,y,z,probability
Commissure LCC-RCC,87.41627782273699,74.181413601212,111.80722298650306,0.6609686
Commissure NCC-RCC,64.18614668347095,57.56983088687208,80.91091728123538,0.6605777
Commissure LCC-NCC,52.66964559726551,94.0,97.36420543854956,0.2868581
Nadir LCS,90.88347907735039,92.98413093341262,90.22739883237709,0.82169515
Nadir RCS,95.45050650489001,73.32078336004538,83.81327280069735,0.6035716
Nadir NCS,76.9119183734669,81.44497722705114,68.10016365247145,0.79386646
Basis of IVT LCC-RCC,98.76009182776718,82.6658142966215,90.1432771556006,0.7771878
Basis of IVT NCC-RCC,85.48402174319158,72.21050132815515,73.95332344686712,0.8580369
Basis of IVT LCC-NCC,82.04814594840612,93.23165773098079,80.74409296673218,0.8879525
