name,x,y,z,probability
Commissure LCC-RCC,81.68534666602761,56.28430062146681,110.70152278043975,0.855204
Commissure NCC-RCC,59.04227570738802,51.25693761571064,94.20345488609208,0.91211474
Commissure LCC-NCC,62.0,72.0,108.97603750267844,0.2757905
Nadir LCS,85.59850501087244,73.26721669889244,100.78318049082075,0.51437426
Nadir RCS,82.6068127860062,52.90772120426292,90.7735329845844,0.5342576
Nadir NCS,70.3871596806502,72.55749102928237,82.16433606062417,0.9635465
Basis of IVT LCC-RCC,90.44128767435866,59.33644462556705,97.9939727591227,0.9153775
Basis of IVT NCC-RCC,76.0549336813468,58.01229548984707,82.30701242229598,0.9476626
Basis of IVT LCC-NCC,78.36453364699439,76.0,91.86639963348763,0.7534977
