name,x,y,z,probability
Commissure LCC-RCC,-1.0,-1.0,-1.0,0.0
Commissure NCC-RCC,65.75546452714562,58.83214324411898,90.29005954941258,0.5966598391532898
Commissure LCC-NCC,-1.0,-1.0,-1.0,0.0
Nadir LCS,95.74524338651162,85.41465811007056,99.77880322146409,0.8581560850143433
Nadir RCS,47.08938614304998,102.0,198.0,0.307816743850708
Nadir NCS,77.03687651138169,80.33160202228362,82.92331731156959,0.9013091921806335
Basis of IVT LCC-RCC,98.80381361643306,75.70989042556187,96.81074593529715,0.4502383768558502
Basis of IVT NCC-RCC,84.0,70.0,84.0,0.29278936982154846
Basis of IVT LCC-NCC,85.005648444562,87.81920554174535,92.25869925266967,0.9605962038040161
