name,x,y,z,probability
Commissure LCC-RCC,80.05056016071282,62.778750380252006,87.52652697830057,0.86147594
Commissure NCC-RCC,62.3343291419426,55.395937670216135,71.12842859533531,0.8624174
Commissure LCC-NCC,67.34635884498444,75.25990116966781,77.42024434366309,0.6549579
Nadir LCS,90.0,74.0,74.0,0.25134343
Nadir RCS,88.24027594623281,57.638838954500606,70.18278821770268,0.6865254
Nadir NCS,75.70152256828099,68.61525108107047,56.72296120104279,0.8586884
Basis of IVT LCC-RCC,92.31338100113393,63.23729888571101,75.26582407308685,0.7020366
Basis of IVT NCC-RCC,80.62176772501617,58.794695160075854,60.92141793355588,0.65881395
Basis of IVT LCC-NCC,82.87033795842004,76.0,66.10935851487136,0.7651014
