name,x,y,z,probability
Commissure LCC-RCC,182.85622942712624,136.0,140.80584621085407,0.512788
Commissure NCC-RCC,164.7550328212805,124.78813446197209,136.0,0.6447614
Commissure LCC-NCC,165.65388090175355,144.29608384122722,138.0678255763041,0.6206267
Nadir LCS,180.48306718956377,142.80357187103252,124.53643261371741,0.7987353
Nadir RCS,177.4624302230385,127.56869863399368,120.93128721903783,0.31453982
Nadir NCS,162.25681231880876,135.29997686244448,119.67514031009894,0.69361174
Basis of IVT LCC-RCC,184.98668932583993,135.22392652722806,123.16611883028433,0.6887931
Basis of IVT NCC-RCC,167.20513287041578,128.0,120.0,0.5729467
Basis of IVT LCC-NCC,169.01981520135996,143.8140388604977,122.59951657012823,0.85493666
