name,x,y,z,probability
Commissure LCC-RCC,184.42728550013902,130.77931076882803,143.0259208851904,0.917964
Commissure NCC-RCC,158.01434509667678,134.60806228941425,126.83299282551103,0.8431006
Commissure LCC-NCC,171.00215359305162,155.5895900644261,144.3156753601967,0.90880126
Nadir LCS,194.00864080835913,153.29552701685347,134.21173550995553,0.8949455
Nadir RCS,186.96759021524736,136.42679086142957,117.36737335504978,0.86907685
Nadir NCS,171.21179111471034,153.8004311256089,116.82580206217477,0.7890037
Basis of IVT LCC-RCC,194.1100957108841,140.1209331179692,128.57622286741446,0.8688023
Basis of IVT NCC-RCC,175.45344834654463,142.90254183341844,114.3784475062772,0.93959624
Basis of IVT LCC-NCC,180.1401190338538,160.39118857391213,128.966831095336,0.93253475
