name,x,y,z,probability
Commissure LCC-RCC,78.94967188312965,69.21195395328724,101.34085936065829,0.75466454
Commissure NCC-RCC,54.23582520697276,71.68208054237908,83.89653462882193,0.90556556
Commissure LCC-NCC,71.2997177349551,94.23429861254425,97.84926796309949,0.67690015
Nadir LCS,94.51673973937238,87.03892276134734,90.2361361454425,0.7952821
Nadir RCS,83.52709384863977,67.56208907226568,77.81070614061697,0.7024112
Nadir NCS,74.46980767480436,93.40894264696888,64.75344239458839,0.840752
Basis of IVT LCC-RCC,94.0985369022371,75.54698510231249,86.3444639676373,0.79974115
Basis of IVT NCC-RCC,78.39448610825394,72.83517725907274,70.40614108288558,0.645142
Basis of IVT LCC-NCC,89.13937360518244,96.90712961006594,82.35142101658268,0.7734595
